seq,id,file,scene,speaker,jp,cn_current,cn_revised,status,issue_type,reason,needs_user_decision,term_hits,context_note,prev_context,next_context,review_model,prompt_mode
860,game_t00859,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,,天測航法…\w…\wって機関は死んでたんだから位置の確認だけだろうけど、\wすごい話だな。,天测航法……那个机构已经死了，所以应该只是确认位置吧，真是厉害的故事啊。,天测航法……动力机关已经报废了，所以应该只是确认位置吧，但也真是了不起。,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,,機関在此语境下指引擎/动力装置，而非组织或机构。 | Codex confirmed and applied.,857 ダリル JP:「『シアトル』じゃ使って無かったのかい？」 CN:「你在西雅图没用过吗？」 || 858 リリア JP:「はい、\w配電系がやられてしまってましたので…\w…\w。航海士が天測で大まかな位置を計測していました」 CN:「是的，配电系统被破坏了……航海士通过天文测量大致测定了位置。」 || 859 ダリル JP:「…\w…\wやるもんだね」 CN:「……真干得出来啊」,861 旁白 JP:航海士は今でも技法としては学んでると聞いてたけど…\w…\w本当に六分儀に頼る状況が来るとは思ってもなかったろうな。 CN:听说航海士现在还在学习技法……但肯定没想到真的会落到依赖六分仪的地步吧。 || 862 リリア JP:「では、\w他に…\w…\wそのように今も健在で、\w通信に利用できる衛星はないのでしょうか」 CN:「那么，其他……像这样至今仍在运行、可用于通信的卫星还有吗」 || 863 ダリル JP:「ふむ…\w…\wいい質問だ。――まずこの３ヶ月、\wアタシらの上空を通過した低軌道衛星はひとつも無い。壊滅的と見ていいだろうね」 CN:「嗯……好问题。――首先这三个月，没有一颗低轨道卫星经过我们上空。可以认为情况是毁灭性的吧。」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
914,game_t00913,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,リリア,「――は」,「「――是」,「——是」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,,Lilia的应答，延续前文对话。 | Codex confirmed and applied.,911 ダリル JP:「病み上がりに無理しないでおくれよ。アンタは衛士――明日、\wいや今この瞬間から既に貴重な戦力なんだ」 CN:「病刚好别勉强自己。你是卫士——明天，不，从此刻起已经是宝贵的战力了」 || 912 リリア JP:「…\w…\wはい」 CN:「……是」 || 913 ダリル JP:「今後の任務については明日、\w実機での着座調整と合わせて説明するものとする」 CN:「关于今后的任务，明天将在实机上进行座位调整时一并说明。」,915 ダリル JP:「…\w…\wこいつはアタシの勘だけどね。嬢ちゃんも結構『乗れる』クチだろう？」 CN:「……这只是我的直觉。小姑娘你也很‘能骑’吧？」 || 916 リリア JP:「…\w…\wご期待には沿えるものと思います、\wマム」 CN:「……我想能够满足您的期待，夫人」 || 917 旁白 JP:げ、\wいきなりそっちの流れに持ってくのかよ。切り替え早えな！ CN:呃，突然就往那边带节奏啊。切换得真快！,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
915,game_t00914,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,ダリル,「…\w…\wこいつはアタシの勘だけどね。嬢ちゃんも結構『乗れる』クチだろう？」,「……这只是我的直觉。小姑娘你也很‘能骑’吧？」,,需要用户确认,双关/性暗示译法,JP「乗れる」和后文「ポジション」连成驾驶/性暗示双关。当前译文「能骑」保留粗双关，但是否改为「能驾驭」「挺能上手」或更露骨版本需用户决定。,yes,,原文双关，需确认是否保留性暗示。 | Codex left for user decision.,912 リリア JP:「…\w…\wはい」 CN:「……是」 || 913 ダリル JP:「今後の任務については明日、\w実機での着座調整と合わせて説明するものとする」 CN:「关于今后的任务，明天将在实机上进行座位调整时一并说明。」 || 914 リリア JP:「――は」 CN:「「――是」,916 リリア JP:「…\w…\wご期待には沿えるものと思います、\wマム」 CN:「……我想能够满足您的期待，夫人」 || 917 旁白 JP:げ、\wいきなりそっちの流れに持ってくのかよ。切り替え早えな！ CN:呃，突然就往那边带节奏啊。切换得真快！ || 918 ダリル JP:「ははっ、\wやっぱりねえ。だったらなおさら、\w機体を触った方が調子が出てくるってモンだよ」 CN:「哈哈，果然如此。既然如此，还是碰碰机体更能进入状态啊。」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
921,game_t00920,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,ウィル,「…\w…\w新戦力には期待しています」,「……期待新战力」,「……对新战力抱有期待。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,, | Codex confirmed and applied.,918 ダリル JP:「ははっ、\wやっぱりねえ。だったらなおさら、\w機体を触った方が調子が出てくるってモンだよ」 CN:「哈哈，果然如此。既然如此，还是碰碰机体更能进入状态啊。」 || 919 リリア JP:「了解です。ご配慮ありがとうございます」 CN:「明白了。感谢您的关照。」 || 920 ダリル JP:「よぉし。こいつは楽しみだね、\wウィル」 CN:「好嘞。这可真让人期待啊，威尔」,922 旁白 JP:これは、\w一番恐れていた女性連合成立の瞬間なのか…\w…\wッ！ CN:这是最令人恐惧的女性联盟成立的瞬间……！ || 923 ダリル JP:「あっはっは。ウィル坊は分かりやすくていいねえ」 CN:「啊哈哈。威尔小子真是好懂啊」 || 924 旁白 JP:…\w…\w読まれてる！？ CN:……被读到了！？,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
928,game_t00927,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,ダリル,「さて、\w今日は以後行動自由とする」,「好了，今天起行动自由」,「好了，今天接下来行动自由。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,, | Codex confirmed and applied.,925 リリア JP:「…\w…\w…\w…\w？」 CN:「…………？」 || 926 旁白 JP:ま、\wまあリリアとビッグ・マムの気が合うかどうかなんてまだ分からないしな。 CN:嘛，莉莉娅和Big Mom合不合得来还不知道呢。 || 927 旁白 JP:無駄に先行して悩むのはやめておこう。はは…\w…\w。 CN:不要无谓地提前烦恼了。哈哈……,929 ダリル JP:「…\w…\wと言っても、\w今日のうちに艦の主要施設は案内してもらっといてくれよ」 CN:「……不过，今天之内你得先带我参观舰上的主要设施哦。」 || 930 リリア JP:「わかりました。ウィル少尉、\wお願いね」 CN:「明白了。威尔少尉，拜托你了」 || 931 ウィル JP:「了解、\w任せときな」 CN:「了解，交给我吧」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
929,game_t00928,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,ダリル,「…\w…\wと言っても、\w今日のうちに艦の主要施設は案内してもらっといてくれよ」,「……不过，今天之内你得先带我参观舰上的主要设施哦。」,「……不过，今天之内先让人带你熟悉舰上的主要设施。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,,根据前文Daryl说‘今天起行动自由’，后文Lilia安排Will带路，此处应是Daryl要求Lilia安排人带他参观。 | Codex confirmed and applied.,926 旁白 JP:ま、\wまあリリアとビッグ・マムの気が合うかどうかなんてまだ分からないしな。 CN:嘛，莉莉娅和Big Mom合不合得来还不知道呢。 || 927 旁白 JP:無駄に先行して悩むのはやめておこう。はは…\w…\w。 CN:不要无谓地提前烦恼了。哈哈…… || 928 ダリル JP:「さて、\w今日は以後行動自由とする」 CN:「好了，今天起行动自由」,930 リリア JP:「わかりました。ウィル少尉、\wお願いね」 CN:「明白了。威尔少尉，拜托你了」 || 931 ウィル JP:「了解、\w任せときな」 CN:「了解，交给我吧」 || 932 ダリル JP:「よしよし。じゃ、\w後は若いモン同士に任せて…\w…\w解散！」 CN:「好了好了。那，剩下的就交给年轻人了……解散！」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
947,game_t00946,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01,ウィル,「違えよ！　ほら、\w例の男女の揉め事がどーの。一応うるさいんだよ」,「搞错啊！你看，就是那男女纠纷什么的。总之很吵啊」,「不对！你看，就是那个男女纠纷什么的。规矩上挺麻烦的。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,,ウィル在反驳リリア的误解，强调自己指的是特定的男女纠纷事件。 | Codex confirmed and applied.,944 ウィル JP:「わ、\w悪い。ただ、\w女性区画に男が迎えに行くってのも、\wちょっとなぁ…\w…\w」 CN:「啊，抱歉。只是，男人去女性区接人，总觉得有点……」 || 945 リリア JP:「ちょっと、\w何？　え、\wやだなに変な勘違い？」 CN:「喂，什么？哎，讨厌，你误会什么了？」 || 946 旁白 JP:…\w…\w世の中の女どもはみんなこういう方向にネタを振るのが好きなのか…\w…\w。 CN:……世上的女人们都喜欢往这个方向抛梗吗……,948 リリア JP:「…\w…\wああ。母艦勤務は変なトコがめんどくさいのね」 CN:「……啊。在母舰上工作，有些地方真是麻烦呢。」 || 949 ウィル JP:「そうそう。それに、\wこれは『おっかさん』の教えでもある」 CN:「对对。而且，这也是‘老妈’的教诲」 || 950 リリア JP:「…\w…\w…\w…\w？」 CN:「…………？」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
973,game_t00972,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01,,お、\wさすがに詳しいな。,哦，果然很详细啊。,哦，果然很了解啊。,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,,前文リリア提到GW是东南亚，ウィル回应，此处旁白称赞其知识详细。 | Codex confirmed and applied.,970 旁白 JP:ニミッツ級はただでさえこの艦よりでかい上に、\wジョージ・ワシントンからは更に１割増しだしな。迷いやすさはＪＦＫより更に上だ。 CN:尼米兹级本来就比这艘船大，而且乔治·华盛顿还要再大一成。容易迷路的程度比JFK更高。 || 971 旁白 JP:エンタープライズ級と違って最初から空母じゃなく戦術機母艦として設計されてるから、\w戦術機の取り回しならよっぽどすっきりしてるんだが。 CN:和企业级不同，从一开始就不是作为航母而是作为战术机母舰设计的，所以在战术机的操作上要简洁得多。 || 972 リリア JP:「へえ…\w…\wＧＷってことは東南アジアね」 CN:「嘿……GW的话是东南亚啊」,974 ウィル JP:「そうそう、\wヤンキー・ステーション――洋上配置ってやつさ。上陸することはほとんどなかったけどな」 CN:「对对，扬基站——就是海上部署。虽然几乎没上过陆。」 || 975 リリア JP:「…\w…\wそりゃそっか、\w正規母艦付きなら」 CN:「……那倒也是，既然是正规母舰配属的话。」 || 976 旁白 JP:ん？　なんだか微妙な顔してるな。…\w…\wまあいいか。 CN:嗯？你表情有点微妙啊。……算了。,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
982,game_t00981,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01,ウィル,「あ、\wそういうことか。俺らのバビロン配置はヨコスカで近かったから、\wつい」,「啊，是这样啊。我们的巴比伦配置在横须贺很近，所以不知不觉」,「啊，是这样啊。我们的巴比伦配置离横须贺很近，所以一时没想到。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,バビロン=>巴比伦, | Codex confirmed and applied.,979 リリア JP:「記憶にある限りＧＷが寄港したことは無かったわね」 CN:「据我所知，GW从未停靠过港口。」 || 980 ウィル JP:「え？　確かに今年に入ってからだと、\wそうだな…\w…\w」 CN:「咦？确实进入今年以后的话，是啊……」 || 981 リリア JP:「バビロン発令の後は結構再配置多かったじゃない。元々米軍は大西洋側に偏ってたし」 CN:「巴比伦发令之后，重新配置挺多的吧。原本美军就偏重于大西洋一侧」,983 リリア JP:「私も元は大西洋よ。任官してからずっとポーツマスだったから。あ、\w英国の方のね」 CN:「我原本也是大西洋的。因为自从任职以来一直在朴茨茅斯。啊，是英国的那个哦」 || 984 ウィル JP:「英国…\w…\wってことはもしかして、\wドーバーとかノルマンディとか！？」 CN:「英国……难道说，是多佛或者诺曼底之类的！？」 || 985 リリア JP:「そうよ、\w英国海軍や欧州連合と一緒だったし。揚陸作戦ばっかやってたわ」 CN:「是啊，和英国海军还有欧盟一起。光搞登陆作战了」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
988,game_t00987,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01,,それに、\wそんな最前線に配置される米軍衛士ってことは…\w…\w。,而且，被配置在那样最前线的美军卫士……,而且，能被配置在那种最前线的美军卫士……。,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需修正。,no,米軍衛士=>美军卫士; 衛士=>卫士; 米軍=>美军,review call failed | Codex confirmed and applied.,985 リリア JP:「そうよ、\w英国海軍や欧州連合と一緒だったし。揚陸作戦ばっかやってたわ」 CN:「是啊，和英国海军还有欧盟一起。光搞登陆作战了」 || 986 旁白 JP:バビロン前の人類が抱えてた最前線のひとつじゃないか…\w…\w。 CN:巴比伦之前的人类所拥有的最前线之一不是吗…… || 987 旁白 JP:もしかして、\w俺なんかより全然実戦経験も多いんじゃないか？ CN:莫非，你比我的实战经验还要多得多？,989 リリア JP:「あのモン・サン・ミシェル要塞にいたこともあるんだから」 CN:「我也在那座圣米歇尔山要塞待过」 || 990 旁白 JP:おいおい、\wあっけらかんと言うもんだな…\w…\w。最前線ってより敵中橋頭堡だぜあそこは。 CN:喂喂，说得可真轻松啊……那里与其说是前线，不如说是敌中桥头堡。 || 991 ウィル JP:「ダリル隊長の読みは大当たり、\wってやつか…\w…\w」 CN:「达里尔队长的解读完全正确，就是这么回事……」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
