norm_cn,count,call_order,id,speaker_jp,jp,cn_final
黑刃2了解,4,23,game_t00022,少尉,「ナイヴス２了解」,「黑刃2了解」
黑刃2了解,4,68,game_t00067,ウィル,「ナイヴス２了解」,「黑刃2了解」
黑刃2了解,4,129,game_t00128,ウィル,「…\w…\wナイヴス２了解」,「……黑刃2了解」
黑刃2了解,4,544,game_t00543,ウィル,「ナイヴス２了解」,「黑刃2了解」
威尔伯特D柯林斯少尉,2,312,game_t00311,ダリル,「ウィルバート・Ｄ・コリンズ少尉！」,「威尔伯特·D·柯林斯少尉！」
威尔伯特D柯林斯少尉,2,1685,game_t01684,ダリル,「――ウィルバート・Ｄ・コリンズ少尉！」,「——威尔伯特·D·柯林斯少尉！」
莉莉娅谢尔贝里少尉,4,670,game_t00669,オールストン准将,「リリア・シェルベリ少尉」,「莉莉娅·谢尔贝里少尉」
莉莉娅谢尔贝里少尉,4,1506,game_t01505,ウィル,「――リリア・シェルベリ少尉！」,「――莉莉娅·谢尔贝里少尉！」
莉莉娅谢尔贝里少尉,4,2621,game_t02620,ダリル,「リリア・シェルベリ少尉」,「莉莉娅·谢尔贝里少尉」
莉莉娅谢尔贝里少尉,4,3672,game_t03671,,リリア・シェルベリ少尉――,莉莉娅·谢尔贝里少尉——
第4层C28区块,2,1563,game_t01562,ウィル,「レベル４、\wＣ２８ブロック」,「第4层、C28区块」
第4层C28区块,2,1564,game_t01563,リリア,「レベル４、\wＣ２８ブロック…\w…\w？」,「第4层、C28区块……？」
全员第一种战斗配置准备近距离防御战这不是训练重复准备近距离防御战各部队指挥官立刻前往作战室报到,2,3044,game_t03043,ＪＦＫオペレーター１,「――総員、\w第一種戦闘配置、\w近接防御戦用意。これは訓練ではない。繰り返す、\w近接防御戦用意。各部隊指揮官は直ちに作戦室へ出頭せよ」,「——全员，第一种战斗配置，准备近距离防御战。这不是训练。重复，准备近距离防御战。各部队指挥官立刻前往作战室报到」
全员第一种战斗配置准备近距离防御战这不是训练重复准备近距离防御战各部队指挥官立刻前往作战室报到,2,3063,game_t03062,ＪＦＫオペレーター１,「総員、\w第一種戦闘配置、\w近接防御戦用意。これは訓練ではない。繰り返す、\w近接防御戦用意。各部隊指揮官は直ちに作戦室へ出頭せよ」,「全员，第一种战斗配置，准备近距离防御战。这不是训练。重复，准备近距离防御战。各部队指挥官立刻前往作战室报到」
